shop_type,sentence,TargetAspect,sentiment
coffee,"The Ambience is nice, they could make much more out of this place by higher Food quality.",Product Quality,NEGATIVE
coffee,Lots of tables and chairs.,Facilities and Amenities,POSITIVE
matcha,Picture of food has nothing in common with the serving.,Product Quality,NEGATIVE
coffee,"We ordered the Seasalt Matcha and the Coco Matcha, and both were as quality and delicious as we expected.",Product Quality,POSITIVE
coffee,"Its awkward if ur eating while others waiting for you to finish, so they use ur table and chairs",Facilities and Amenities,NEGATIVE
coffee,Call or contact them first to confirm if they're open coz we went there tonight and they were closed even when their hours on Google said they're open.,Store Operations and Accessibility,NEGATIVE
coffee,What I like about this place is that it is relatively quiet than other coffee shops.,Ambiance and Atmosphere,POSITIVE
coffee,"We also paired it with some of their cookies, though honestly, they were just average in taste.",Product Quality,NEGATIVE
matcha,… for just a decent-regular cup of matcha.,Product Quality,NEUTRAL
matcha,Seems like the cashier or the order taker was very tired.,Customer Service,NEUTRAL
coffee,"I can see the staff are doing their best to accommodate everyone, but the wait can be a bit long.",Customer Service,NEUTRAL
coffee,Magazines on the shelf for time spending on the wall to enjoyment of drinking coffee.,Product Quality,POSITIVE
coffee,"Honestly, I thought you bought your cakes from SNR, which offers the same level of taste and consistency.",Product Quality,POSITIVE
coffee,2023 update: Main reason for coming here is to try their frozen yogurt but i didnt know they only serve it starting 1pm :( so i had to get iced coffee and a cheesecake instead.,Product Quality,NEUTRAL
coffee,Coffee 5/5 Atmosphere 5/5 Food 3/5 - small servings for thier expensive food,Product Quality,POSITIVE
matcha,The matcha taste strong even blended with coffee and the beans they used for coffee's as well are from the known coffee shop in CDO which made me thought ahead that the …,Product Quality,NEUTRAL
coffee,The area is not cramped and the airconditioning units are enough for the space.,Facilities and Amenities,POSITIVE
coffee,Bit noisy if there are many people.,Ambiance and Atmosphere,NEGATIVE
coffee,But there was a recent addition of a 5% service charge that wasn't there before.,Customer Service,NEGATIVE
coffee,I loved the wifi and the sockets everywhere though.,Facilities and Amenities,POSITIVE
coffee,The matcha milk was okay and great that it had no clumps.,Product Quality,POSITIVE
coffee,"A little weird seeing 1/3 of the space used for booking flights and such but honestly, the drinks were delicious.",Facilities and Amenities,POSITIVE
coffee,Good food.,Product Quality,POSITIVE
coffee,the comfort room is the most important place in every establishment.,Facilities and Amenities,NEUTRAL
coffee,"Good food, good friends!",Product Quality,POSITIVE
coffee,"Great place, good food, awesome price, but your clothes will kinda smell like oil afterwards.",Product Quality,POSITIVE
coffee,Accessible and easier when you're coming from Rasay Street.,Store Operations and Accessibility,POSITIVE
coffee,"What truly elevates the entire experience, however, is the staff.",Customer Service,POSITIVE
coffee,"However I did find the entrees a bit small, also service was slow during my 1st visit.",Customer Service,NEGATIVE
coffee,Mixed the coffee and it felt creamy then tried placing ice in it.,Product Quality,NEUTRAL
coffee,":) I'm giving it just 4 stars though, because their crew did not listen well to us when we made the order.",Customer Service,NEGATIVE
coffee,The coffee scent welcomes you the moment you open the door.,Product Quality,POSITIVE
coffee,I hope they can improve on their coffee strength and customer service.,Product Quality,NEUTRAL
coffee,"But that's my private taste, everyone else might have a different meaning about this.",Product Quality,NEUTRAL
coffee,Got the Spanish latte.,Product Quality,NEUTRAL
matcha,they definitely have good coffee beans!,Product Quality,POSITIVE
matcha,Very welcoming and kind ang staff esp miss Russell who knows us well na & is very lovely in preparing our orders sparkling_heart we keep coming back for more~ Matcha is superb and my fiancé's favorite is their cacao drink matched with their chocolate …,Customer Service,POSITIVE
coffee,Nice food quality.,Product Quality,POSITIVE
matcha,"First of all, their matcha is really good.",Product Quality,POSITIVE
coffee,"Giving this resto a 5-star except for the atmosphere, because it can get crowded (which says a lot, by the way) and noisy.",Ambiance and Atmosphere,NEGATIVE
matcha,They make good matcha.,Product Quality,POSITIVE
coffee,"Service is friendly and efficient,",Customer Service,POSITIVE
coffee,"The staff were incredibly friendly and accommodating, taking the time to explain the beans used for their coffee, which added to the overall enjoyment of the visit.",Customer Service,POSITIVE
coffee,A very chill place specially if you want to work and study.,Facilities and Amenities,POSITIVE
coffee,Food & Drinks were 100000/10 accommodating staff & store is neat and organized!,Product Quality,POSITIVE
coffee,The best Matcha better than Matcha Tokyo and the best Truffle Pasta I had period.,Product Quality,POSITIVE
coffee,Their coffee surprises from the first aroma to the last lingering taste - this coffee is perfection!,Product Quality,POSITIVE
coffee,"Great coffee, owner is very friendly and accomodating.",Product Quality,POSITIVE
coffee,We didn't want to continue if there was no proper parking so good thing we found it.,Store Operations and Accessibility,POSITIVE
coffee,The staff and their Chef didn't hesitate to provide us with good service and delicious food.,Product Quality,POSITIVE
coffee,"The staff were also warm, polite, and friendly, which made the experience even better.",Customer Service,POSITIVE
matcha,10/10 because the matcha tastes really good.,Product Quality,POSITIVE
coffee,Such a Gen Z vibe - groovy and cozy.,Ambiance and Atmosphere,POSITIVE
