place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,ground_truth,is_tie,vote_breakdown
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The place is a little bit crowded which is understandable since it is a newly opened café and the good qualities that I mentioned.,Ambiance and Atmosphere,NEUTRAL,False,,,
The Bloom Coffee & Start-Up Space,2,coffee,When looking at the food and drink alone I think this place doesn't hold up.,Product Quality,NEGATIVE,False,,,
Solace - Coffee Club,2,coffee,I ordered their version of a Spanish Latte...lo and behold it was very bitter.,Product Quality,NEGATIVE,False,,,
Barok Cafe and Resto,2,coffee,"Despite bringing these concerns to the attention of the staff, their response was useless and unprofessional.",Customer Service,NEGATIVE,False,,,
Cafe Demitasse,2,coffee,I must say the quantity is good but since I am a foreigner it didn't match upto my taste.,Product Quality,NEGATIVE,False,,,
Knto Cinco - Puan Branch,2,coffee,"Overall, the place is nice and very aesthetic.",Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The place is peaceful and quiet.,Ambiance and Atmosphere,POSITIVE,False,,,
Dopio Café,2,coffee,"the place was nice when it felt like a chill escape, now just another noisy place, loud and obnoxious enough that i either HAVE TO use my bluetooth earphones to drown it out, or just leave, or not enter at all :-( food, here's my review of the whole menu.",Ambiance and Atmosphere,NEGATIVE,False,,,
Blugré Coffee,2,coffee,"Still on the menu are the old faves — Chicken Enchilada and White Choco Torte….This used to be ""the coffee hang out"" during its glory days…But as so many new coffee shops sprouted through the years, issues with poor air conditioning, slow internet connection, and the second floor always unavailable loudly spells TERRIBLE service.",Product Quality,NEGATIVE,False,,,
Starbucks - Matina IT Park,2,coffee,Choco Crepe Cake tasted like cardboard.,Product Quality,NEGATIVE,False,,,
Indahouse Cafe,2,coffee,The milk overpowered the matcha.,Product Quality,NEGATIVE,False,,,
Barok Cafe & Resto,2,coffee,the price is a bit high for the serving.,Price and Value,NEGATIVE,False,,,
Green Coffee - Diversion,3,coffee,"The service was a bit slow, especially with the food.",Customer Service,NEGATIVE,False,,,
Cafe Demitasse,3,coffee,"The staff is exceptionally polite; however, the food served is ordinary and seems to be cooked without passion.",Customer Service,NEGATIVE,False,,,
Coffeecat,3,coffee,"Good coffee, good ambiance, plenty of parking space but slow internet connection",Ambiance and Atmosphere,POSITIVE,False,,,
The Matcha Tokyo - Azuela High Street,3,matcha,"If you're into matcha that leans more on the bitter side, …",Product Quality,NEUTRAL,False,,,
Kopi lah Roti,3,coffee,"Maybe a little renovation, and don't serve a day old coffee bun again please.",Product Quality,NEGATIVE,False,,,
WKND 1970,3,coffee,"I only wish their staff was friendlier, and more approachable, and that they can improve the dining experience by adding more light, tables and music",Facilities and Amenities,NEGATIVE,False,,,
HYGGE COFFEE 2,3,coffee,#NAME?,Customer Service,NEGATIVE,False,,,
HOUR CAFÉ,3,coffee,"The Ambience is nice, they could make much more out of this place by higher Food quality.",Product Quality,NEGATIVE,False,,,
Coffee at Yellow Hauz,3,coffee,Lots of tables and chairs.,Facilities and Amenities,POSITIVE,False,,,
The Matcha Tokyo - SM Davao,3,matcha,Picture of food has nothing in common with the serving.,Product Quality,NEGATIVE,False,,,
"KAOS CAFE - 24 Hours, Jacinto St.",3,coffee,"We ordered the Seasalt Matcha and the Coco Matcha, and both were as quality and delicious as we expected.",Product Quality,POSITIVE,False,,,
Krispy Kreme Factory Store Davao,3,coffee,"Its awkward if ur eating while others waiting for you to finish, so they use ur table and chairs",Facilities and Amenities,NEGATIVE,False,,,
Isem Cafe,3,coffee,Call or contact them first to confirm if they're open coz we went there tonight and they were closed even when their hours on Google said they're open.,Store Operations and Accessibility,NEGATIVE,False,,,
Green Coffee - Marfori,3,coffee,What I like about this place is that it is relatively quiet than other coffee shops.,Ambiance and Atmosphere,POSITIVE,False,,,
Lately Coffee,3,coffee,"We also paired it with some of their cookies, though honestly, they were just average in taste.",Product Quality,NEGATIVE,False,,,
The Matcha Tokyo - Azuela High Street,3,matcha,… for just a decent-regular cup of matcha.,Product Quality,NEUTRAL,False,,,
The Matcha Tokyo - SM Davao,3,matcha,Seems like the cashier or the order taker was very tired.,Customer Service,NEUTRAL,False,,,
Krispy Kreme Doughnuts® - SM Lanang,3,coffee,"I can see the staff are doing their best to accommodate everyone, but the wait can be a bit long.",Customer Service,NEUTRAL,False,,,
Coffeecat,3,coffee,Magazines on the shelf for time spending on the wall to enjoyment of drinking coffee.,Product Quality,NEUTRAL,False,,,
Daleachious Cafe - Ecoland Branch,3,coffee,"Honestly, I thought you bought your cakes from SNR, which offers the same level of taste and consistency.",Product Quality,POSITIVE,False,,,
Coffeecat,4,coffee,2023 update: Main reason for coming here is to try their frozen yogurt but i didnt know they only serve it starting 1pm :( so i had to get iced coffee and a cheesecake instead.,Product Quality,NEUTRAL,False,,,
The Limestone Brew,4,coffee,Coffee 5/5 Atmosphere 5/5 Food 3/5 - small servings for thier expensive food,Product Quality,POSITIVE,False,,,
KISOM Atelier,4,matcha,The matcha taste strong even blended with coffee and the beans they used for coffee's as well are from the known coffee shop in CDO which made me thought ahead that the …,Product Quality,NEUTRAL,False,,,
Cafe Demitasse,4,coffee,The area is not cramped and the airconditioning units are enough for the space.,Facilities and Amenities,POSITIVE,False,,,
JAS Caffeinated,4,coffee,Bit noisy if there are many people.,Ambiance and Atmosphere,NEGATIVE,False,,,
Wood and Coffee Davao,4,coffee,But there was a recent addition of a 5% service charge that wasn't there before.,Customer Service,NEUTRAL,False,,,
Coffee Hub,4,coffee,I loved the wifi and the sockets everywhere though.,Facilities and Amenities,POSITIVE,False,,,
Fourth Street Cafe,4,coffee,The matcha milk was okay and great that it had no clumps.,Product Quality,POSITIVE,False,,,
Steep Kohi,4,coffee,"A little weird seeing 1/3 of the space used for booking flights and such but honestly, the drinks were delicious.",Facilities and Amenities,POSITIVE,False,,,
Cafe Demitasse,4,coffee,Good food.,Product Quality,POSITIVE,False,,,
Cafe Demitasse,4,coffee,the comfort room is the most important place in every establishment.,Facilities and Amenities,NEUTRAL,False,,,
BRGR Alley Café,4,coffee,"Good food, good friends!",Product Quality,POSITIVE,False,,,
Fika Cafe - Lapu-Lapu,4,coffee,"Great place, good food, awesome price, but your clothes will kinda smell like oil afterwards.",Product Quality,POSITIVE,False,,,
Dopio Café,4,coffee,Accessible and easier when you're coming from Rasay Street.,Store Operations and Accessibility,POSITIVE,False,,,
The Crazy Bite Co. Sky Cafe,4,coffee,"What truly elevates the entire experience, however, is the staff.",Customer Service,POSITIVE,False,,,
Lara Mia Café & Bistro,4,coffee,"However I did find the entrees a bit small, also service was slow during my 1st visit.",Customer Service,NEGATIVE,False,,,
Kiks Davao,4,coffee,Mixed the coffee and it felt creamy then tried placing ice in it.,Product Quality,NEUTRAL,False,,,
Coffeecat,4,coffee,":) I'm giving it just 4 stars though, because their crew did not listen well to us when we made the order.",Customer Service,NEGATIVE,False,,,
Kofi Gram Bangkal,4,coffee,The coffee scent welcomes you the moment you open the door.,Product Quality,POSITIVE,False,,,
Espresso Lab Cafe Davao,4,coffee,I hope they can improve on their coffee strength and customer service.,Product Quality,NEUTRAL,False,,,
Cafe Basilico,5,coffee,"But that's my private taste, everyone else might have a different meaning about this.",Product Quality,NEUTRAL,False,,,
Fourth Street Cafe,5,coffee,Got the Spanish latte.,Product Quality,NEUTRAL,False,,,
Out of Boredom,5,matcha,they definitely have good coffee beans!,Product Quality,POSITIVE,False,,,
Whisk Davao Matcha,5,matcha,Very welcoming and kind ang staff esp miss Russell who knows us well na & is very lovely in preparing our orders sparkling_heart we keep coming back for more~ Matcha is superb and my fiancé's favorite is their cacao drink matched with their chocolate …,Customer Service,POSITIVE,False,,,
Cafe Demitasse,5,coffee,Nice food quality.,Product Quality,POSITIVE,False,,,
Whisk It Good Matcha,5,matcha,"First of all, their matcha is really good.",Product Quality,POSITIVE,False,,,
Cafe Tavera,5,coffee,"Giving this resto a 5-star except for the atmosphere, because it can get crowded (which says a lot, by the way) and noisy.",Ambiance and Atmosphere,NEGATIVE,False,,,
Mille Matcha - DGT,5,matcha,They make good matcha.,Product Quality,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,"Service is friendly and efficient,",Customer Service,POSITIVE,False,,,
Purge Coffee Roaster,5,coffee,"The staff were incredibly friendly and accommodating, taking the time to explain the beans used for their coffee, which added to the overall enjoyment of the visit.",Customer Service,POSITIVE,False,,,
The Bloom Coffee & Start-Up Space,5,coffee,A very chill place specially if you want to work and study.,Facilities and Amenities,POSITIVE,False,,,
Daleachious Cafe - Bago Aplaya Branch,5,coffee,Food & Drinks were 100000/10 accommodating staff & store is neat and organized!,Product Quality,POSITIVE,False,,,
The Limestone Brew,5,coffee,The best Matcha better than Matcha Tokyo and the best Truffle Pasta I had period.,Product Quality,POSITIVE,False,,,
Fika Cafe - Lapu-Lapu,5,coffee,Their coffee surprises from the first aroma to the last lingering taste - this coffee is perfection!,Product Quality,POSITIVE,False,,,
Fiend Coffee Club,5,coffee,"Great coffee, owner is very friendly and accomodating.",Product Quality,POSITIVE,False,,,
BRGR Alley Café,5,coffee,We didn't want to continue if there was no proper parking so good thing we found it.,Store Operations and Accessibility,POSITIVE,False,,,
JH Garden Cafe and Restaurant Matina,5,coffee,The staff and their Chef didn't hesitate to provide us with good service and delicious food.,Product Quality,POSITIVE,False,,,
BRGR Alley Café,5,coffee,"The staff were also warm, polite, and friendly, which made the experience even better.",Customer Service,POSITIVE,False,,,
&Matcha - Three Yards,5,matcha,10/10 because the matcha tastes really good.,Product Quality,POSITIVE,False,,,
Habitat Coffee - Tionko Branch,5,coffee,Such a Gen Z vibe - groovy and cozy.,Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks,5,coffee,Truly a Starbuckian and cozy place to chill and unwind,Ambiance and Atmosphere,POSITIVE,False,,,
ROOFTOP Café Bar,5,coffee,Great atmosphere,Ambiance and Atmosphere,POSITIVE,False,,,
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,The staffs are really kind and approachable i like the vibe and the song of choice they play,Ambiance and Atmosphere,POSITIVE,False,,,
Fourth Street Cafe,5,coffee,"Minimalist vibe, al fresco setting, and great coffee.",Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Demitasse,5,coffee,"We love the vibrant ambiance, customer service of the guards and waiters, clean comfort rooms and the yummy foods especially the cakes.",Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"We were all happy with the service, the ambiance, and of course the food and drinks.",Ambiance and Atmosphere,POSITIVE,False,,,
Evermore Cafe Davao,5,coffee,"This chic, contemporary establishment perfectly complements the neighborhood's serene ambiance.",Ambiance and Atmosphere,POSITIVE,False,,,
Matcha Point,1,matcha,Way lami itambay kay ang alimuot sa ilang second floor.,Ambiance and Atmosphere,NEGATIVE,True,,,
Kotetsu by Wood and Coffee,5,coffee,"The food was really yummy and the ambiance was warm and relaxing, which made the whole experience nice.",Ambiance and Atmosphere,POSITIVE,False,,,
JH Garden Cafe and Restaurant Matina,4,coffee,Chill place and peaceful.,Ambiance and Atmosphere,POSITIVE,False,,,
JH Garden Cafe and Restaurant Matina,5,coffee,"The peaceful ambiance, combined with the natural beauty of the surroundings, makes it an ideal place for any occasion.",Ambiance and Atmosphere,POSITIVE,False,,,
Koffiepauze,4,matcha,The ambiance is nice,Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks,5,coffee,Good coffee and good ambiance,Ambiance and Atmosphere,POSITIVE,False,,,
Hid'n Coffee,5,coffee,"Definitely among the best coffee shops in Davao City, especially with its laid back open garden atmosphere and its excellent coffee concoctions.",Ambiance and Atmosphere,POSITIVE,False,,,
KISOM Atelier,5,matcha,Very chill vibe too.,Ambiance and Atmosphere,POSITIVE,False,,,
Hortus Davao (Matcha & Coffee),5,matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash,Ambiance and Atmosphere,POSITIVE,False,,,
Coffee Project Mintal,4,coffee,"The place is beautifully designed — cozy, Instagram-worthy, and has that relaxing vibe that makes you want to stay longer.",Ambiance and Atmosphere,POSITIVE,False,,,
Good One Cafe and Yogurt,5,coffee,The interior is very unique and the ambiance is great.,Ambiance and Atmosphere,POSITIVE,False,,,
Annipie,5,coffee,Very nice ambiance with lots of cakes to choose from.,Ambiance and Atmosphere,POSITIVE,False,,,
Bandejas Cafe & Diner,5,coffee,"Lovely atmosphere, delicious food and great music.",Ambiance and Atmosphere,POSITIVE,False,,,
Humble Table,4,coffee,The place has a cute and cozy ambiance.,Ambiance and Atmosphere,POSITIVE,False,,,
Paramount Coffee Crocodile Park Davao,4,coffee,a place to go for a good cuppa with relaxing ambiance depending on the time of day.,Ambiance and Atmosphere,POSITIVE,False,,,
Fourth Street Cafe,5,coffee,"Love the minimalist approach, the friendly baristas and the cafe's airy & relaxing atmosphere.",Ambiance and Atmosphere,POSITIVE,False,,,
ROOFTOP Café Bar,5,coffee,We enjoy the food with the calm ambiance.,Ambiance and Atmosphere,POSITIVE,False,,,
Daleachious Cafe - Ecoland Branch,5,coffee,Their jazzy background music makes you mellow down and enjoy the ambiance.,Ambiance and Atmosphere,POSITIVE,False,,,
Outlook,5,coffee,"The outdoor tables are adorned with warm accent lights that mimic candlelight, creating a romantic and intimate atmosphere.",Ambiance and Atmosphere,POSITIVE,False,,,
Fourth Street Cafe,5,coffee,The minimalist design of the cafe creates a soothing atmosphere that's perfect for savoring every sip.,Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks Damosa IT Park Drive-Thru,5,coffee,"The all-glass front and side are particularly pleasing and add a beautiful ambiance, especially at night.",Ambiance and Atmosphere,POSITIVE,False,,,
The Matcha Tokyo - SM Davao,5,matcha,Great atmosphere and service too :)),Ambiance and Atmosphere,POSITIVE,False,,,
Indahouse Cafe,5,coffee,Place: Very Instagrammable Staff: friendly and very attentive Matcha: you can explore various types of high quality matcha drink.,Ambiance and Atmosphere,POSITIVE,False,,,
Kafih - Davao,5,coffee,"Worth the price  OK_hand_light_skin_tone  The services, wifi the ambiance.",Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks SM Davao Expansion Wing,5,coffee,New look but same vibe.,Ambiance and Atmosphere,NEUTRAL,False,,,
Green Coffee - Marfori,5,coffee,clean and quiet green coffee branch.,Ambiance and Atmosphere,POSITIVE,False,,,
Mandatory Matcha Bar,5,matcha,Small interior space but I absolutely love the intimate atmosphere!,Ambiance and Atmosphere,POSITIVE,False,,,
Seattle's Best Coffee,5,coffee,I always go for the al fresco area because the ambiance is really nice.,Ambiance and Atmosphere,POSITIVE,False,,,
Space-Arabica,5,coffee,Aesthetic!,Ambiance and Atmosphere,POSITIVE,False,,,
Whisk Davao Matcha,4,matcha,"Love the ambiance, too!",Ambiance and Atmosphere,POSITIVE,False,,,
Brew and Cinnamon Cafe,5,coffee,"So nice ambiance at this shop, the place is just in front of GoHotel/ Phonex near Guadalupe Village.",Ambiance and Atmosphere,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,Elegant Classy vibe.,Ambiance and Atmosphere,POSITIVE,False,,,
Matcha Bar - Marfori,5,matcha,Cosy atmosphere with unique interior design.,Ambiance and Atmosphere,POSITIVE,False,,,
KISOM Atelier,3,matcha,It ruins the ambiance of an otherwise lovely place.,Ambiance and Atmosphere,NEGATIVE,False,,,
Whisk Davao Matcha,5,matcha,"Great place, peaceful vibe.",Ambiance and Atmosphere,POSITIVE,False,,,
Espresso Lab Cafe Davao,4,coffee,Beautiful lighting and great atmosphere,Ambiance and Atmosphere,POSITIVE,False,,,
Annipie @ The Farm,5,coffee,A place to go when you want peace and quiet day with family.,Ambiance and Atmosphere,POSITIVE,False,,,
Coffee Project Mintal,4,coffee,"The ambiance is cosy, walls with artistic murals that add warmth and playfulness.",Ambiance and Atmosphere,POSITIVE,False,,,
Indahouse Cafe,5,coffee,the AMBIANCE you must SEE and FEEL for yourself... it's TRULY worth your TIME and MONEY... #indahouse,Ambiance and Atmosphere,POSITIVE,False,,,
Coffee at Yellow Hauz,1,coffee,The food and the atmosphere at your establishment are commendable.,Ambiance and Atmosphere,POSITIVE,False,,,
COFFIX COFFEE SHOP,1,coffee,Atmosphere 1/5 No such atmosphere.,Ambiance and Atmosphere,NEGATIVE,False,,,
Matcha Ureshi Bar,5,matcha,"good ambiance, good matcha & good service",Ambiance and Atmosphere,POSITIVE,False,,,
Hortus Davao (Matcha & Coffee),5,matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash  …,Ambiance and Atmosphere,POSITIVE,False,,,
Matcha Bar - Marfori,5,matcha,"The place is also very aesthetic, clean and minimalistic.",Ambiance and Atmosphere,POSITIVE,False,,,
Dakong Balay,5,coffee,nice atmosphere with delicious food,Ambiance and Atmosphere,POSITIVE,False,,,
Whisk It Good Matcha,5,matcha,Aesthetic vibes!,Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks - SM Lanang,5,coffee,"Cozy atmosphere, relaxing music, and the smell of coffee hits differently the moment you enter.",Ambiance and Atmosphere,POSITIVE,False,,,
REVEL by Confex,5,coffee,The ambiance is so relaxing and delicious.,Ambiance and Atmosphere,POSITIVE,False,,,
Brew Lane Café,4,coffee,I love the ambience and the music so much!,Ambiance and Atmosphere,POSITIVE,False,,,
Indahouse Cafe,4,coffee,Old town Japanese vibe It must be pretty at night when lights hanged on the tree are lit.,Ambiance and Atmosphere,POSITIVE,False,,,
The Secret Garden Cafe,5,coffee,The Cafe offers a unique ambiance that combines a cozy atmosphere with a beautiful indoor garden setup.,Ambiance and Atmosphere,POSITIVE,False,,,
KISOM Atelier,5,matcha,Love the atmosphere of the place quiet and chill.,Ambiance and Atmosphere,POSITIVE,False,,,
Fourth Street Cafe,5,coffee,The ambiance was conducive for studying.,Ambiance and Atmosphere,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,Good ambiance and very nice place to study!,Ambiance and Atmosphere,POSITIVE,False,,,
Green Coffee - Marfori,5,coffee,Great place for studying and chilling and place is quiet and the atmosphere is peaceful.,Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"Delicious foods,impleccable service amd charming ambiance blue_heart",Ambiance and Atmosphere,POSITIVE,False,,,
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,"The ambiance is cozy and artistic, making the whole experience even more enjoyable.",Ambiance and Atmosphere,POSITIVE,False,,,
Wood and Coffee Davao,4,coffee,"The overall aesthetic of the place was impressive, as expected from a design by an artist.",Ambiance and Atmosphere,POSITIVE,False,,,
Hola Coffee,5,coffee,And it has a kinda peaceful chill place for me hehe,Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks - SM City Davao,5,coffee,Everything is good the food the service and the ambiance.,Customer Service,POSITIVE,False,,,
Seattle's Best Coffee,5,coffee,Beautiful ambiance and very delicious coffee plus accomodating crew white_heart  sparkles,Customer Service,POSITIVE,False,,,
Green Coffee - Diversion,1,coffee,Train your staff properly invest in customer service you have the worst customer service in all coffee shop in davao city.,Customer Service,NEGATIVE,False,,,
8me sweet cakes and coffe shop,5,coffee,The best and sikwate with puto maya Nice place Nice their service,Customer Service,POSITIVE,False,,,
Whisk It Good Matcha,5,matcha,"What really keeps me coming back is the overall experience—the cozy, homey interior and the warm, friendly owners who always make sure you …",Customer Service,POSITIVE,False,,,
Fourth Street Cafe,4,coffee,Price experience score (pes) 7/10 Take out place service ok Coffee good Shop nice Price good,Customer Service,NEUTRAL,False,,,
JH Garden Cafe and Restaurant Matina,5,coffee,"love the food , the smiling face of the staff specially the ambiance of the nature",Customer Service,POSITIVE,False,,,
Blugré Coffee,5,coffee,Good service,Customer Service,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,Super Lovely and welcoming Staff named Glena Jean,Customer Service,POSITIVE,False,,,
The Crazy Bite Co. Sky Cafe,4,coffee,Meals star  star  star  star  Burgers  star  star  star  star  star  Coffee  star  star  star  Place  star  star  star  star  star  Crews  star  star  star  star  Great service  star   star   star   star   star,Customer Service,POSITIVE,False,,,
Kanoffee Toril,5,coffee,Coffee- 5/5 Place- 5/5 Service- 5/5 it ma,Customer Service,POSITIVE,False,,,
The Crazy Bite Co. Sky Cafe,5,coffee,the ambiance of the place plus the food is already giving and as well as the workers which is very accommodating in terms of services.,Customer Service,POSITIVE,False,,,
The Crazy Bite Co. Sky Cafe,5,coffee,"FROM THE MOMENT YOU WALK IN, THE ENTIRE CREW GREETS YOU WITH THE WARMEST SMILES AND ENERGY AND IT INSTANTLY MAKES YOU FEEL COMFORTABLE AND APPRECIATED!!!",Customer Service,POSITIVE,False,,,
Kafih - Davao,5,coffee,"Work friendly and relaxing ambiance, free wifi and charging station  OK_hand",Customer Service,NEUTRAL,False,,,
The Coffee Bar at GMall of Davao,5,coffee,"great customer service by Glena Jean, the best among the rest!",Customer Service,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,Good service,Customer Service,POSITIVE,False,,,
Matcha Bar - Marfori,5,matcha,The best matcha cafe in the Ph so cozy and friendly and just aesthetically pleasing!,Customer Service,POSITIVE,False,,,
Mori & Mill,2,coffee,Aesthetics of the restaurant is the total opposite of service and food.,Customer Service,NEGATIVE,False,,,
DUNKIN’ Catalunan Grande,4,coffee,Accommodating ang staff and great ambiance while ga study,Customer Service,POSITIVE,False,,,
The Crazy Bite Co. Sky Cafe,5,coffee,Food 7.8/10 Matcha 8.5/10 Service 10/10 Place 10/10,Customer Service,POSITIVE,False,,,
Darkk Coffee Co.,5,coffee,"The warm ambiance and friendly people evoke memories of teenage hangouts, while the expertly crafted offers a comforting taste of the past.",Customer Service,POSITIVE,False,,,
Dakong Balay,4,coffee,Good service,Customer Service,POSITIVE,False,,,
STASH Coffee Co.,4,coffee,The interior was warm staff where friendly and willing to help guess its location is also a plus giving a little privacy,Customer Service,POSITIVE,False,,,
PICKUP COFFEE - Oroderm City,5,coffee,Good service,Customer Service,POSITIVE,False,,,
Starbucks SM Davao Expansion Wing,5,coffee,And Its really great to have a Nice Food Service and Atmosphere specially the new STarbucks branch,Customer Service,POSITIVE,False,,,
Fourth Street Cafe,5,coffee,Good Service,Customer Service,POSITIVE,False,,,
Pursuit of Coffee (POC),5,coffee," cupcake Vanilla Flan Tart, Kalifa Cake  hot_beverage Crossroad latte, Spring Blossom, Roasted Indigo  star genuinely kind staff  star clean and beautifully maintained space  star Impressively fast service  star love the food and drinks overall",Customer Service,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,Nice branch Great food friendly staff the place is Brand New and has great ambience,Customer Service,POSITIVE,False,,,
Purge Coffee Roaster,5,coffee,A real third wave coffee experience in Davao operated by a passionate award winning barista.,Customer Service,POSITIVE,False,,,
Starbucks - Abreeza Mall,5,coffee,"The recent renovation solidifies Starbucks Abreeza as not just a coffee shop but a destination where friendly service, a conducive work environment, and a fresh, modern aesthetic come together for an exceptional experience.",Customer Service,POSITIVE,False,,,
Kafih - Davao,5,coffee,I love the cafe cause of the barista and food and coffee,Customer Service,POSITIVE,False,,,
WORK CO COWORKING MATINA BRANCH,5,coffee,The staff name krezel is very friendly and accomodating,Customer Service,POSITIVE,False,,,
Whisk Davao Matcha,5,matcha,"white chocolate matcha is good and the cheesecake as well, every accommodating din tung staff sila Russel and Sam.",Customer Service,POSITIVE,False,,,
olo. Coffee And Concepts,5,coffee,"I love how cozy and calm the overall vibe is, especially in the outdoor space — it's the perfect spot to relax and unwind.",Facilities and Amenities,POSITIVE,False,,,
The Limestone Brew,5,coffee,A high end coffee and diner in the  red_heart  of Samal with WiFi,Facilities and Amenities,POSITIVE,False,,,
ems Cafe and Resto,3,coffee,Strategic area with many establishments nearby and shared parking space too.,Facilities and Amenities,POSITIVE,False,,,
Pastry Street Pie & Café,5,coffee,pushpin Friendly and pleasant-looking staff  pushpin WiFi!!!,Facilities and Amenities,POSITIVE,False,,,
The Bloom Coffee & Start-Up Space,4,coffee,Great place to work Good coffee and good food I recommand,Facilities and Amenities,POSITIVE,False,,,
Dunkin’ Drive Thru,5,coffee,wide and secure parking space to atop over and take a short nap,Facilities and Amenities,POSITIVE,False,,,
Starbucks Damosa IT Park Drive-Thru,5,coffee,You feel safe with plenty of parking space & polite staff,Facilities and Amenities,POSITIVE,False,,,
MYLK Cafe,4,matcha,Cozy space and strong ac!,Facilities and Amenities,POSITIVE,False,,,
