shop_type,sentence,TargetAspect,sentiment
coffee,"Way lami ang playlist nila, maka duka paminawon.",Ambiance and Atmosphere,
coffee,"Place is unique, nice ambiance.",Ambiance and Atmosphere,
matcha,It ruins the ambiance of an otherwise lovely place.,Ambiance and Atmosphere,
coffee,"The Wi-Fi is reliable and fast, which makes it a highly productive environment for students and professionals alike.However, the atmosphere can be a bit of a gamble.",Ambiance and Atmosphere,
matcha,Relaxing ambiance,Ambiance and Atmosphere,
coffee,"Pros: Beautiful aesthetic, polite doorman, and polite young male staff.",Ambiance and Atmosphere,
coffee,Probably will come back there for a morning coffee and chill since the place has a nice ambiance.,Ambiance and Atmosphere,
coffee,"good food, nice ambiance.",Ambiance and Atmosphere,
coffee,Suffocating kay wala silay proper ventilation sa kusina.,Ambiance and Atmosphere,
coffee,The food and the atmosphere at your establishment are commendable.,Ambiance and Atmosphere,
coffee,"Now 86(no more, sadly) was once the best experience you can have in toril at the moment for a really nice chill place to relax.",Ambiance and Atmosphere,
coffee,"We went last Aug. 7 around 3pm, the girl with hair above her shoulder, don't know her name, so unprofessional, she enjoys her kpop music more than the customers, also forgot our change, good thing my friend remembered, gosh!",Ambiance and Atmosphere,
coffee,"Puro aesthetic ra ni, dili conducive for remote work gyud.",Ambiance and Atmosphere,
coffee,"Overall, it's the entirety of the place that keeps me coming back to basically chill and hangout.",Ambiance and Atmosphere,
coffee,"I really loved the overall setup, aesthetic, and cleanliness of this place.",Ambiance and Atmosphere,
coffee,"While the aesthetic ambiance is inviting, customer service needs improvement.",Ambiance and Atmosphere,
coffee,atmosphere: parking is awful.,Ambiance and Atmosphere,
coffee,"Great Late-Night Spot with a Cozy Vibe If you're looking for a place to grab a drink after the usual cafe hours, Lately Coffee is a solid option.",Ambiance and Atmosphere,
matcha,Aesthetic daw pero hugaw ang tables ug init.,Ambiance and Atmosphere,
coffee,"During my visit around 9 p.m. (close to closing time), it wasn't crowded at all, which made for a relaxed atmosphere.",Ambiance and Atmosphere,
coffee,Puro aesthetic pero fail sa comfort and temperature.,Ambiance and Atmosphere,
coffee,"Saba ang dalan, wala silay proper sound insulation.",Ambiance and Atmosphere,
coffee,It can get quite noisy too.,Ambiance and Atmosphere,
coffee,This place has the ambiance of a McDonald's and as you would expect families taking huge blocks of the comfortable seating that exist.,Ambiance and Atmosphere,
coffee,"Crème Brulee Cake - P200.00 San Rival Cake - P190.00 Barok Vanilla 10oz - P170.00 I am not sure if I wanted to come back since I did not like the vibe, it was just too loud for my liking.",Ambiance and Atmosphere,
coffee,Pangit ang vibe kay ga share kag table sa sobra ka huot.,Ambiance and Atmosphere,
coffee,"This Starbucks branch is usually a bit cramped and crowded making it sometimes hard to find an immediate available seat or table to chill, given that it is located in a mall.",Ambiance and Atmosphere,
matcha,"Bati ilang playlist, maka wala og gana mag stay.",Ambiance and Atmosphere,
coffee,Puro aesthetic pero murag sauna ang kainit sa sulod!,Ambiance and Atmosphere,
matcha,"Dili chill ang ambiance, pirmi nagdali ang mga tao.",Ambiance and Atmosphere,
coffee,"Brew Lane Cafe is a great spot to chill, especially with friends.",Ambiance and Atmosphere,
coffee,Love the vibe and the food but how are you not open 20 minutes past your opening time?,Ambiance and Atmosphere,
coffee,Chill place.,Ambiance and Atmosphere,
matcha,Puro aesthetic display pero ang ambiance murag fast food chain ka saba.,Ambiance and Atmosphere,
matcha,Nice space and ambiance but it can get noisy if there are a lot of people.,Ambiance and Atmosphere,
coffee,"That said, I really appreciated the ambiance of the place.",Ambiance and Atmosphere,
coffee,Saba ang nag dula ug mobile legends sa pikas table.,Ambiance and Atmosphere,
coffee,Not fit for chill and relax.,Ambiance and Atmosphere,
coffee,"The food, service, and atmosphere are all solid B's.",Ambiance and Atmosphere,
matcha,Saba ang mga istudyante na naga dula og cards sa pikas table.,Ambiance and Atmosphere,
coffee,"the drinks were delicious, and the ambiance was great including the staff but I found an insect sa cream ng iced creamy latte ko :/ hope they pay attention next time to the drinks they give out",Ambiance and Atmosphere,
coffee,"Daghan kayg lamok sa ilang al fresco area, grabe!",Ambiance and Atmosphere,
coffee,"But the place is aesthetic, you go home with nice pics.",Ambiance and Atmosphere,
coffee,"Ang baho sa gawas musulod, makawala sa kape vibe.",Ambiance and Atmosphere,
coffee,"Guba ilang suga ga flicker-flicker, sakit sa mata mag tuon.",Ambiance and Atmosphere,
coffee,Ambiance is nice but their food is blah lol,Ambiance and Atmosphere,
coffee,The ambiance was nice pero the only problem is that they served our food almost 2hrs.,Ambiance and Atmosphere,
matcha,"Wa silay music, madungog nimo chika sa tanan table, super awkward.",Ambiance and Atmosphere,
coffee,The place itself is also fine and aesthetic.,Ambiance and Atmosphere,
coffee,"Way privacy, makadungog naka sa chika sa pikas table.",Ambiance and Atmosphere,
coffee,Atmosphere is great for working and studying.,Ambiance and Atmosphere,
coffee,PURO PA AESTHETIC pero baho man og abog sa sulod.,Ambiance and Atmosphere,
matcha,"While the place is clean and has a pleasant ambiance, the food quality unfortunately doesn't live up to the setting.",Ambiance and Atmosphere,
coffee,What I really love about this place is the relaxed atmosphere.,Ambiance and Atmosphere,
coffee,Alimuot kaayo kay sigeg abli-sira ang ilang main door.,Ambiance and Atmosphere,
matcha,"Sakit sa mata ilang suga, murag operating room sa clinic. Dili man lang i-adjust aron relaxing ang palibot.",Ambiance and Atmosphere,
coffee,"Crowded, noisy, and expensive",Ambiance and Atmosphere,
coffee,The ambiance is amazing but they should add more to their menu considering that they make tasty food.,Ambiance and Atmosphere,
coffee,"It used to be a nice café where you could chill, read a book, enjoy your drink in a calm and relaxing atmosphere but not anymore.",Ambiance and Atmosphere,
coffee,Ambiance is good but the arrangement of the upper floor makes every movement seem noisier than it is and disrupts other cx.,Ambiance and Atmosphere,
coffee,"Of all the times I've ordered, about 50% of the time, the staff gets it wrong and packs the wrong donut(s).",Customer Service,
coffee,"If there was only one kitchen staff member and they were new, shouldn't the dishes have at least been prepared and served chronologically based on when orders were placed?",Customer Service,
coffee,So we got the attention of the crew then she traced and viola!,Customer Service,
coffee,"Has only 1 cashier resulting in a very long queue and long waiting for order(s) Lots of space, cold aircon, and clean comfort rooms.",Customer Service,
coffee,Super rude cashier named AIRA!!!!,Customer Service,
coffee,I hope they can improve their serving time because the overall dining experience would be much better with faster service.,Customer Service,
coffee,Than realizing that you already secured your tip by including service charge is terrible etiquette in my opinion.,Customer Service,
coffee,"Still welcome the idea of a second visit — hopefully, better service/staff attitude and improved food taste.",Customer Service,
coffee,A little more focus on customer service would go a long way.,Customer Service,
coffee,I almost pass out when they used a very strong kind of Clorox agent... You can cry inside the cafe when the staff put it in the toilet.,Customer Service,
coffee,"I love Annipie's food specially carbonara but the service here, in such a small restaurant is a mess.",Customer Service,
coffee,Basic customer service etiquette dictates that staff should be mindful of patrons while they are still enjoying their meal.,Customer Service,
coffee,"Pero, ang ironic lang that a place designed with nature vibes isn't environmentally friendly.",Customer Service,
coffee,The coffee is great but customer service is zero its sad that no option to put zero star in service.,Customer Service,
coffee,We informed the staff politely and they told us they would fix it within 5 minutes.,Customer Service,
coffee,"It's always during the EARLIEST TIME of the day when staff are NOT ALERT/unattentive that I usually see warning signs…..Flat white and Bangsilog was just……..If I'm coming back well, you know the answer….",Customer Service,
coffee,"This is what happened: after I parked my scooter in a designated spot, a customer rudely suggested to the crew that it should be thrown into a canal!",Customer Service,
coffee,"A beautiful space can attract people, but good customer service and customer comfort are what make them want to come back.",Customer Service,
coffee,"On the other hand, I appreciate the male staff who was there at the time—his approach was much more respectful and understanding.",Customer Service,
coffee,"Food: Decent but overpriced Service: Expect to wait 90+ minutes on a Sunday Atmosphere: Sit outside adjacent to 3 carparks surrounding you and breathe in the carbon monoxide from the idle viechles as you sit wishing for your food to arrive for 90+ minutes, simply hoping it would arrive so you can get out of here already.",Customer Service,
coffee,Why not put the menu inside so that it's not too hassle for your customers and your staff assigned outside?,Customer Service,
coffee,i waited more than 30 minutes waiting in line just to order a drink while there's staff refilling already filled paper cup dispensers.,Customer Service,
coffee,Would it hurt for its crew for a smile not a frown.,Customer Service,
coffee,"Now, I don't really have a problem with how much the cost was, but rather how your employee, specifically your CASHIER handled the situation.",Customer Service,
coffee,Is that how your staff should behave?!!,Customer Service,
coffee,Kind staff Good place to study and chill for an exted period of time.,Customer Service,
coffee,"The food would have been delicious but the ""SERVICE"" we've waited almost 2 hours for the Drinks only hahahaha worst!",Customer Service,
coffee,Having a running inventory would have saved both sides (me and the cashier) the trouble.,Customer Service,
coffee,"First, the cashier S****** told us that the serving time of our orders, iced matcha latte and iced caramel latte will take 1 hour and 30 mins, we were confused why but we chose to understand so we did not really mind it.",Customer Service,
coffee,"If you're wondering why the quality of the drinks and service here has steeply declined, it's because the creative force behind this cafe's previous success has moved on.",Customer Service,
coffee,"personally rated this 2 stars only because of poor costumer service, the lady on duty wed. Jan.22, 5pm is not courteous, and gave us a wrong tea order., I told her nxt time listen to the order...the owner should talk to this not so courteous employee.",Customer Service,
coffee,it wouldn't be a very bad experience if the staff was nice,Customer Service,
coffee,you'd get better service at a busy jollibee.,Customer Service,
coffee,"the barista then looked at me and said ""dito lang po sir for payment"" referring to the front of the line.",Customer Service,
coffee,Kitchen staff and bar staff is very overwhelmed and unterstaffed even the place is not 100% capacity,Customer Service,
coffee,NOT RECOMMENDED for the service and WiFi policy.,Customer Service,
coffee,"Finally the table that was ""assigned"" to us was vacant, THEN THE STAFF TOOK ALMOST 20 MINS TO CLEAN ONE TABLE.",Customer Service,
coffee,The order taker /cashier is coughing good thing she wears mask after she took my order.,Customer Service,
coffee,"On the bright side, I appreciate that their drinks are Singaporean-inspired, as the barista shared.",Customer Service,
coffee,"I really wanted to enjoy my dining experience here because the restaurant has a nice ambiance and the food is on the pricier side, so I expected good service.",Customer Service,
coffee,"Then it's obvious that it's all ice, it's like the worst branch, fix your barista.",Customer Service,
coffee,Poor customer service,Customer Service,
coffee,Rude barista (the girl) and they look like they don't know how to make the beverages since they always look up for measurements.,Customer Service,
coffee,Their best branch in terms of service I think is DGT.,Customer Service,
coffee,Marj the cashier is very polite.,Customer Service,
coffee,Sometimes they can't hear barista's voice in getting your coffee.,Customer Service,
coffee,"Great place to meet up with friends, great and varieties of food to choose from, spacious and well mannered staff, must try their sardines & cheese pandesal",Customer Service,
coffee,We saw your shop and the ambiance is very comfy we love the ambiance But I was disappointed because of the staff and my husband ordered some of your café drinks.,Customer Service,
coffee,"Customer service matters a lot, especially when it comes to how staff handle unexpected situations.",Customer Service,
coffee,"Especially a name Marvin, worst staff ever, get angry about me for my late order that takes 30 mins for a one grande ice macchiato.",Customer Service,
coffee,Poor customer service,Customer Service,
coffee,It's such a pity that a great business is being ruined by the terrible attitude of its employees.,Customer Service,
coffee,The only nice thing about your place is your staff who are accommodating and smiley.,Customer Service,
coffee,I am writing this review directly from the venue to express my deep disappointment with the service at Yukiss Cafe & Events Room.,Customer Service,
coffee,worst cafe experience ever— it was supposed to be my first time to try here and upon entering I walked towards the counter and asked nicely if they have Priority Lane (prior to asking them i already presented my PWD ID to one of the staff at the counter) and they said 'No' which is i'm kinda confused kasi every cafes i went have the special lane and i think it's mandatory to have a special lane to every establishments (?),Customer Service,
coffee,Not so conveniently placed shack-like barista inside the mall.,Customer Service,
coffee,"It is very inconvenient to order in an iPad considering they have service charge, in the end the customer do all the service.",Customer Service,
coffee,"If you're going to run a self-service restaurant, at least make sure the basics—like handing out a canned drink—don't take longer than preparing the actual meal.",Customer Service,
coffee,"I believe staff should be properly trained and consistently reminded about hygiene standards, including wearing appropriate uniforms and face masks, and knowing what to do when coughing or sneezing while on duty.",Customer Service,
coffee,"The cashier has an attitude, just scanning the QR code again and still getting angry",Customer Service,
coffee,I hope the restaurant can improve its quality control and customer service when such issues arise.,Customer Service,
coffee,What was disappointing was the lack of coordination among staff and the fact that no one apologized for the missed orders.,Customer Service,
coffee,Politely informed the staff that the chicken is not fully cooked.,Customer Service,
coffee,No need to be rude and never ever understemate customer at all you dont know who you will deal with and also dont put moody staff in the morning that looks like carrying the whole world problem face like an airport runway sad and moody.,Customer Service,
coffee,"As for the prices, it's pretty much the same as the prices of their sister cafe (wood and coffee) so I wouldn't say that the cafe is student friendly because of this.",Customer Service,
coffee,The frappe is good the store is nice it's just that the customer service in pryce branch is not that welcoming vibes knowing they are partnering with dinolandia.,Customer Service,
coffee,Meals: They only offer pastries and finger foods Service & Staff: Very good Ambiance: Very good,Customer Service,
coffee,What really pushed this from mildly inconvenient to completely unacceptable was the drink service.,Customer Service,
coffee,The barista said they used arabica but after tasting we insisted to add extra shots of espresso for our drinks as it didnt taste strong.,Customer Service,
coffee,Poorly maintained restroom upstars causing stinking smell No screen to check if order is done No buzzer or beeper You wouldn't know unless you check their claim area from time to time Cashiers are friendly,Customer Service,
coffee,"UNDERSTAFFED for the deluge of people, cashier is doing everything at the same time making orders toooooooo looooong!!",Customer Service,
coffee,"I hope this feedback is taken constructively and used to improve staff training, product knowledge, and order handling moving forward.",Customer Service,
coffee,"Hopefully, management can address the service and organization soon.",Customer Service,
coffee,"The tapa is like our tocino at home although the chicken fillet so good 10/10 and the staff is very accommodating, like no judgement indeed.",Customer Service,
coffee,slow service of pizza food,Customer Service,
coffee,"The food is good and the customer service is superb However, there is one mistake that could've affected our appetite There was tissue in their salad disappointed_face  Though I know it is not intentional We still ate it, but be more cautious when serving the food and double check moving forward folded_hands  And we noticed that they were also surprised when I told them about our concern It's good that they apologized for the customer service because they were very accommodating And another thing, they have a lot of servings in the food folded_hands",Customer Service,
coffee,"Having read good reviews from at least a year back to as far as three (3) years ago, well I EXPECTED the same but….First, it took minutes for the one lone busy staff behind the counter to approach my table to get my order.",Customer Service,
matcha,"For a premium-priced establishment, the service and quality should be much higher.",Customer Service,
coffee,The barista bulled the kitchen rag after wipeing the tables right over my coffe while preparing it dripping.,Customer Service,
coffee,"Then your barista said that customers don't like cocoa powder on top because it's bitter, I don't know what is the exact standard of the cold cappuccino but based on my experience at barista abroad we put chocolate powder to balance the bitterness and sweetness while sipping the coffee.",Customer Service,
coffee,"I asked them what they recommend for tea that tastes the same as normal iced tea so the cashier asked the barista if they had any, the barista said ""nothing"".",Customer Service,
coffee,"While I appreciate the store's focus on aesthetics and product quality, I believe equal importance should be given to product knowledge so that staff can properly explain what each product is when customers ask.",Customer Service,
coffee,"my first 2 visits, i encountered the same barista.",Customer Service,
coffee,Naay langaw sa sulod kay guba ilang door closer.,Facilities and Amenities,
coffee,"Daleachious Cafe Bago Aplaya is cozy and aesthetic, perfect for chill hangouts and study sessions.",Facilities and Amenities,
coffee,The aircon is dripping water sa among table.,Facilities and Amenities,
matcha,No designated smoking area so the smoke goes inside.,Facilities and Amenities,
coffee,"Overall, it's still a decent place if you just want somewhere nearby to chill or work.",Facilities and Amenities,
matcha,"Ngitngit ang cafe, sakit sa mata mag basa.",Facilities and Amenities,
matcha,"The outdoor tables are dusty, murag wala gi trapohan.",Facilities and Amenities,
coffee,"Guba ilang aircon, init kaayo sa sulod murag oven.",Facilities and Amenities,
coffee,For being a co working space.,Facilities and Amenities,
matcha,"Amoy damp ang sulod sa shop, parang kulob.",Facilities and Amenities,
coffee,Good wifi,Facilities and Amenities,
coffee,"internet is fast, however the price and taste is not that nice hahahaha",Facilities and Amenities,
matcha,Wala man lay basurahan sa gawas for the tissues.,Facilities and Amenities,
coffee,"Overall, while the space itself is aesthetically pleasing and has potential, the long waiting time, inconsistent food quality, limited drink service, and minor hygiene concerns made the experience underwhelming.",Facilities and Amenities,
coffee,"Rewriting my review here, this place has become one of my go to coffee shops in town to unwind/have a me time or work.",Facilities and Amenities,
matcha,"Only one comfort room for all customers, grabe ang pila.",Facilities and Amenities,
coffee,"Dami lamok sa al fresco area nila, walay fan man lang.",Facilities and Amenities,
coffee,The place is quite conducive for studying and doing other desktop work.,Facilities and Amenities,
coffee,"Sakit sa likod ilang mga bangko, not for long hours.",Facilities and Amenities,
matcha,"Medyo hugaw ang floor, daghan pa tissue nag kalat.",Facilities and Amenities,
coffee,"I think, this is the only Starbucks in the world that doesn't offer a free wifi connection.",Facilities and Amenities,
matcha,"Mga chairs nila naay rust, maka guba ug sanina.",Facilities and Amenities,
coffee,They will also knock the door of the comfort room if you go there a bit longer (nobody poop that'll last a sec) and won't even ask apology when you go out.,Facilities and Amenities,
matcha,"Guba ilang mga chairs, medyo wobbly and delikado.",Facilities and Amenities,
coffee,Init pa sa impyerno ilang al fresco. Walay fans jud.,Facilities and Amenities,
matcha,Basag na ilang mga plates and cups. Not presentable.,Facilities and Amenities,
coffee,This particular outlet is on the ground floor of the mall and immediately visible when you walk in.,Facilities and Amenities,
coffee,"That Sunday the coffee tables and ladies behind the hotel's front desk counter was an EYESORE with one also visibly folding some laundry….But the fairly-priced, tasty large Miss Saigon and Tsokolate drinks was a salute to visit again… Sadly, that time only a dark brown cookie on display was not even tempting….The white sheet right under the lid was innovative to prevent spills during take outs…..",Facilities and Amenities,
coffee,Very small space too.,Facilities and Amenities,
coffee,No fans din so it got very hot especially with their lights :/ please turn on your aircon esp pag madami na tao,Facilities and Amenities,
coffee,limited wifi internet access (gowifi from globe)  smiling_face_with_smiling_eyes  …,Facilities and Amenities,
coffee,They didn't have WIFI,Facilities and Amenities,
coffee,Atmosphere (2/5) the chairs are not very aesthetic.,Facilities and Amenities,
coffee,"We decided to stop by their cafe to work on it together, thinking it would be a good place to stay.",Facilities and Amenities,
coffee,Kind staff Good place to study and chill for an exted period of time.,Facilities and Amenities,
matcha,"Luod ilang CR, walay hand soap and water is very hina.",Facilities and Amenities,
coffee,They also said there was no wifi?,Facilities and Amenities,
coffee,"Sira yung isang toilet, tapos ang dumi pa ng isa.",Facilities and Amenities,
coffee,"Used plates and glasses were left on tables for a while, making the place look messy and affecting the overall ambiance.",Facilities and Amenities,
coffee,They only have 1 socket sa whole cafe. Hassle kaayo.,Facilities and Amenities,
coffee,The coffee is very expensive but there is no internet.,Facilities and Amenities,
coffee,"If they knew how to flip tables and hold reservations minutes before the assigned reservation time, WE COULD'VE EATEN ALREADY.",Facilities and Amenities,
coffee,"NOT RECOMMENDED, FLIES ARE EVERYWHERE WE ASKED FOR ADDITIONAL CANDLE BUT THEY SAID THEY CAN ONLY PROVIDE 1 CANDLE PER TABLE TOLD THEM WE WILL BE OCCUPYING 2 TABLES BUT THEY JUST IGNORED US.",Facilities and Amenities,
coffee,"Overall, one of the better matchas in the city if you can overlook the cramped space.",Facilities and Amenities,
coffee,Clogged ang sink sa ilang washroom. Luod kaayo.,Facilities and Amenities,
coffee,"Walay tabo or bidet sa CR, mag unsa man mi?",Facilities and Amenities,
coffee,May dedicated parking space.,Facilities and Amenities,
matcha,Init jud kaayo kay isa ra ang aircon na ga andar.,Facilities and Amenities,
matcha,"Alimoot kaayo sa ilang outdoor setup, walang electric fan.",Facilities and Amenities,
coffee,"The café shares the space with a clinic, which explains the noise.",Facilities and Amenities,
coffee,Not ideal for meetings or work.,Facilities and Amenities,
coffee,Cafe has an extension room for additional space.,Facilities and Amenities,
matcha,"Walay ilaw sa ilang parking lot, medyo scary sa gabi.",Facilities and Amenities,
coffee,"The aircon is weak, when you go inside it just smokes because the exhaust fan doesn't work.",Facilities and Amenities,
coffee,Limited parking space at the front was cramped.,Facilities and Amenities,
coffee,Some of the tables remained vacant the entire 1 hour and 30 minutes of our wait.,Facilities and Amenities,
coffee,Walay mirror sa CR ug ngitngit kaayo ang suga.,Facilities and Amenities,
coffee,"Comfort room, always not available",Facilities and Amenities,
coffee,"This Starbucks branch is pretty much your regular Starbucks experience — familiar setup, consistent coffee, standard food options, and the usual comfortable place to sit down, meet, or get some work done.",Facilities and Amenities,
coffee,Hina ang aircon. Singot kaayo ko nag inom ug kape.,Facilities and Amenities,
coffee,I hope management can work on improving consistency in how guests are treated.,Facilities and Amenities,
coffee,"Unprofessional behavior such us rude look, banging and slamming noises behind the counter - an expression of irritation, focusing on paper work instead of attending to customers.",Facilities and Amenities,
matcha,"Mabaho ang CR, amoy ihi hanggang sa counter.",Facilities and Amenities,
coffee,Worse Internet Connection,Facilities and Amenities,
matcha,"Guba ang mga saksakan, sunog pa yata ang isa.",Facilities and Amenities,
coffee,Any kind of service crew asking you to move tables in a middle of a meal should be re trained.,Facilities and Amenities,
coffee,Downside is the staff will purposely turn off the power in your socket while you're charging if they think you're staying long enough already.,Facilities and Amenities,
coffee,"Basa ang salog sa CR, delikado maka slide.",Facilities and Amenities,
coffee,The internet is bad,Facilities and Amenities,
coffee,"Nevertheless, theyve got super fast and unlimited internet access.",Facilities and Amenities,
coffee,"The other customers at the other tables (there were 3 other occupied tables) were not the loud, dirty-mouth types.",Facilities and Amenities,
coffee,A new food outlet for diners across SM City Davao.,Facilities and Amenities,
coffee,Good place to study because there are many outlets and the wifi is strong.,Facilities and Amenities,
coffee,Ask the waiter for a wifi voucher which covers only 2 hours.,Facilities and Amenities,
coffee,"The coffee shop offers ample parking space, thanks to its location in a commercial area.",Facilities and Amenities,
matcha,Internet access is limited with time,Facilities and Amenities,
coffee,"Cute Near cr and entrance/exit Wide selction of flavours Tea, fruits, coffee and chocolate flavours available",Facilities and Amenities,
coffee,Tables are all over the place and are not well maintained,Facilities and Amenities,
coffee,I only discovered the issue when I tried to transfer the connection from my phone to my laptop.,Facilities and Amenities,
coffee,"Super init sa second floor, di keri mag stay dugay.",Facilities and Amenities,
coffee,"I work in the hospitality,",Facilities and Amenities,
coffee,Pros: Marami socket.,Facilities and Amenities,
coffee,"The wifi service is intermittent, on and off, I think the staff purposely turns off the wifi to turn away customers that bought more items from the premises and there are 4 airconditioning units that's not being use, the shop was humid and hot inside",Facilities and Amenities,
coffee,"matcha was mid for its price, barista didn't seem welcoming",Price and Value,
coffee,But for its price of 180.,Price and Value,
coffee,Hopefully they can improve the quality and quantity since the price was not cheap.,Price and Value,
matcha,Pricey for a matcha place in Davao City.,Price and Value,
matcha,Grabe sad ka mahal ang matcha dre uy.,Price and Value,
coffee,"You pay more for the aesthetic, dili worth it ang drinks.",Price and Value,
coffee,"At the end of the day, no matter how expensive a product is, customers are willing to pay if it's worth it.",Price and Value,
matcha,Only problem I had was the outrageous price for just a decent-regular cup of matcha.,Price and Value,
coffee,"food is mid for the price, burger patty looked raw had to re-heat it at home.",Price and Value,
coffee,Food is just expensive for its taste but not that very special.,Price and Value,
matcha,Mahal kaayo ang matcha nila compared sa uban.,Price and Value,
coffee,Di worth it ang price sa quality sa food.,Price and Value,
coffee,Ordered breakfast of Beef Tapa full of hard chewing tendons and so expensive about 380 pesos or less.,Price and Value,
coffee,"Dili ko mu-utro ug palit, kamahal sa ilang drinks.",Price and Value,
coffee,Convenient to meet but overpriced like everywhere,Price and Value,
coffee,"Mahal na gani, wa pajud lami ang pagka timpla.",Price and Value,
coffee,"My only gripe is the fact that the inside of the serving is hollow, which makes its relatively steep price even less justifiable.",Price and Value,
coffee,Dili ko ganahan sa price kay overcharged ra kaayo.,Price and Value,
coffee,Expensive,Price and Value,
coffee,Mahal kaayo ang food tapos ang gamay sa portion.,Price and Value,
coffee,Di sya worth it for its price point.,Price and Value,
matcha,The price match the taste  winking_face  Perfect for students.,Price and Value,
coffee,Gamay ra ang cake slice para sa 150 pesos.,Price and Value,
coffee,Unlike starbucks you know the value customer's comfort.,Price and Value,
coffee,Their coffee is starbucks price but not starbucks taste and service.,Price and Value,
coffee,"expectation vs. reality is bad on the menu, you can see big cubes of beef in the pic but the serving is ground  zany_face  doesn't taste good and small servings for such an expensive price.",Price and Value,
coffee,Expensive,Price and Value,
coffee,Mura mag ginto ang presyo sa ila drinks.,Price and Value,
matcha,"Ang mahal ng matcha nila, di naman authentic ang lasa.",Price and Value,
coffee,My number one pain point is how expensive it is on so little that you get.,Price and Value,
coffee,Portion: 3/5 - small serving for its price.,Price and Value,
coffee,"However, waiting 50 minutes for a gamy longanisa sandwich which is basically just cheap ground pork w salt and pepper is disappointing.",Price and Value,
coffee,patronizing this cafe is basically just begging to be robbed; there's simply no way to justify these prices with the value of the service being provided.,Price and Value,
coffee,"Mahal kaayo ang drinks, di worth it for the price.",Price and Value,
coffee,Di makatarungan ang kamahal sa ila food and drinks.,Price and Value,
coffee,Affordable and yummy donuts.,Price and Value,
matcha,cold brew was meh... sayang pera,Price and Value,
coffee,Price is kind of higher than the rest of the coffee shops.,Price and Value,
coffee,The price is not justified by the taste and size.,Price and Value,
coffee,To crazy expensive,Price and Value,
coffee,thumbs_up  thumbs_up  thumbs_up  Biscuit gelato super good din  thumbs_up  thumbs_up  thumbs_up  Your price is good or fair naman but the food portion should be just right.,Price and Value,
matcha,Way pulos ang kape nila for that expensive price.,Price and Value,
matcha,Di worth it i-spend akong kwarta dire.,Price and Value,
coffee,"Mahal kaayo, dili ko mubalik dire na cafe.",Price and Value,
coffee,Sayang jud akong 250 pesos ani na drink.,Price and Value,
coffee,"For a coffee lover like me, the Americano is not that strong and a little bit bland which somehow is a bit surprising for its price which is a bit higher than most coffee shops around the city.",Price and Value,
coffee,Jusko ang mahal ng kape tapos lasang tubig.,Price and Value,
matcha,Mahal ilang drinks unya murag asukal ra tanan.,Price and Value,
matcha,The matcha is good pero the price is completely unjustified.,Price and Value,
coffee,"Mahal jud sya, di makatarungan for a regular iced coffee.",Price and Value,
coffee,You are expecting a nice or slightly elevated taste because the price is expensive.,Price and Value,
coffee,"Just remove the per slice price, When we tried sm lanang and sm ecoland, Same.",Price and Value,
coffee,I asked the waiter why was the price so high for the shots?,Price and Value,
coffee,good for a quick caffeine fix in a budget.,Price and Value,
