place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,prob_negative,prob_neutral,prob_positive,predicted_label,margin
Green Coffee - Diversion,1,coffee,Train your staff properly invest in customer service you have the worst customer service in all coffee shop in davao city.,Customer Service,,False,0.38784203,0.22977471,0.38238326,NEGATIVE,0.005458772
8me sweet cakes and coffe shop,5,coffee,The best and sikwate with puto maya Nice place Nice their service,Customer Service,,False,0.388962,0.22632605,0.38471198,NEGATIVE,0.00425002
Whisk It Good Matcha,5,matcha,"What really keeps me coming back is the overall experience—the cozy, homey interior and the warm, friendly owners who always make sure you …",Customer Service,,False,0.39378458,0.21425372,0.39196172,NEGATIVE,0.001822859
Fourth Street Cafe,4,coffee,Price experience score (pes) 7/10 Take out place service ok Coffee good Shop nice Price good,Customer Service,,False,0.3877255,0.22203648,0.39023802,POSITIVE,0.0025125146
JH Garden Cafe and Restaurant Matina,5,coffee,"love the food , the smiling face of the staff specially the ambiance of the nature",Customer Service,,False,0.3924487,0.21976243,0.3877889,NEGATIVE,0.0046598017
Blugré Coffee,5,coffee,Good service,Customer Service,,False,0.38545918,0.23443598,0.3801048,NEGATIVE,0.0053543746
The Coffee Bar at GMall of Davao,5,coffee,Super Lovely and welcoming Staff named Glena Jean,Customer Service,,False,0.3869045,0.22932908,0.3837664,NEGATIVE,0.0031380951
The Crazy Bite Co. Sky Cafe,4,coffee,Meals star  star  star  star  Burgers  star  star  star  star  star  Coffee  star  star  star  Place  star  star  star  star  star  Crews  star  star  star  star  Great service  star   star   star   star   star,Customer Service,,False,0.38255647,0.23488694,0.38255662,POSITIVE,1.4901161e-07
Kanoffee Toril,5,coffee,Coffee- 5/5 Place- 5/5 Service- 5/5 it ma,Customer Service,,False,0.39442444,0.2125489,0.3930267,NEGATIVE,0.0013977289
The Crazy Bite Co. Sky Cafe,5,coffee,the ambiance of the place plus the food is already giving and as well as the workers which is very accommodating in terms of services.,Customer Service,,False,0.392672,0.21863645,0.38869157,NEGATIVE,0.003980428
The Crazy Bite Co. Sky Cafe,5,coffee,"FROM THE MOMENT YOU WALK IN, THE ENTIRE CREW GREETS YOU WITH THE WARMEST SMILES AND ENERGY AND IT INSTANTLY MAKES YOU FEEL COMFORTABLE AND APPRECIATED!!!",Customer Service,,False,0.3867646,0.22806184,0.38517362,NEGATIVE,0.0015909672
Kafih - Davao,5,coffee,"Work friendly and relaxing ambiance, free wifi and charging station  OK_hand",Customer Service,,False,0.39061013,0.22202359,0.38736627,NEGATIVE,0.0032438636
The Coffee Bar at GMall of Davao,5,coffee,"great customer service by Glena Jean, the best among the rest!",Customer Service,,False,0.3894539,0.22407426,0.38647184,NEGATIVE,0.0029820502
The Coffee Bar at GMall of Davao,5,coffee,Good service,Customer Service,,False,0.38545918,0.23443598,0.3801048,NEGATIVE,0.0053543746
Matcha Bar - Marfori,5,matcha,The best matcha cafe in the Ph so cozy and friendly and just aesthetically pleasing!,Customer Service,,False,0.3894559,0.22139633,0.3891478,NEGATIVE,0.0003081262
Mori & Mill,2,coffee,Aesthetics of the restaurant is the total opposite of service and food.,Customer Service,,False,0.38735473,0.22619584,0.38644955,NEGATIVE,0.00090518594
DUNKIN’ Catalunan Grande,4,coffee,Accommodating ang staff and great ambiance while ga study,Customer Service,,False,0.39151672,0.22294258,0.3855407,NEGATIVE,0.0059760213
The Crazy Bite Co. Sky Cafe,5,coffee,Food 7.8/10 Matcha 8.5/10 Service 10/10 Place 10/10,Customer Service,,False,0.39263976,0.21351336,0.3938469,POSITIVE,0.0012071431
Darkk Coffee Co.,5,coffee,"The warm ambiance and friendly people evoke memories of teenage hangouts, while the expertly crafted offers a comforting taste of the past.",Customer Service,,False,0.39457095,0.21661279,0.38881633,NEGATIVE,0.00575462
Dakong Balay,4,coffee,Good service,Customer Service,,False,0.38545918,0.23443598,0.3801048,NEGATIVE,0.0053543746
STASH Coffee Co.,4,coffee,The interior was warm staff where friendly and willing to help guess its location is also a plus giving a little privacy,Customer Service,,False,0.39003915,0.2260759,0.3838849,NEGATIVE,0.006154239
PICKUP COFFEE - Oroderm City,5,coffee,Good service,Customer Service,,False,0.38545918,0.23443598,0.3801048,NEGATIVE,0.0053543746
Starbucks SM Davao Expansion Wing,5,coffee,And Its really great to have a Nice Food Service and Atmosphere specially the new STarbucks branch,Customer Service,,False,0.3884178,0.22766343,0.38391882,NEGATIVE,0.0044989884
Fourth Street Cafe,5,coffee,Good Service,Customer Service,,False,0.38540033,0.23457386,0.38002586,NEGATIVE,0.0053744614
Pursuit of Coffee (POC),5,coffee," cupcake Vanilla Flan Tart, Kalifa Cake  hot_beverage Crossroad latte, Spring Blossom, Roasted Indigo  star genuinely kind staff  star clean and beautifully maintained space  star Impressively fast service  star love the food and drinks overall",Customer Service,,False,0.3817385,0.23492548,0.38333607,POSITIVE,0.0015975535
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,Nice branch Great food friendly staff the place is Brand New and has great ambience,Customer Service,,False,0.39515954,0.2145341,0.3903063,NEGATIVE,0.0048532486
Purge Coffee Roaster,5,coffee,A real third wave coffee experience in Davao operated by a passionate award winning barista.,Customer Service,,False,0.39226568,0.22194332,0.3857909,NEGATIVE,0.006474763
Starbucks - Abreeza Mall,5,coffee,"The recent renovation solidifies Starbucks Abreeza as not just a coffee shop but a destination where friendly service, a conducive work environment, and a fresh, modern aesthetic come together for an exceptional experience.",Customer Service,,False,0.39448485,0.21266346,0.3928517,NEGATIVE,0.0016331375
Kafih - Davao,5,coffee,I love the cafe cause of the barista and food and coffee,Customer Service,,False,0.38797703,0.22700864,0.3850143,NEGATIVE,0.0029627383
WORK CO COWORKING MATINA BRANCH,5,coffee,The staff name krezel is very friendly and accomodating,Customer Service,,False,0.38970366,0.22432078,0.3859756,NEGATIVE,0.003728062
Whisk Davao Matcha,5,matcha,"white chocolate matcha is good and the cheesecake as well, every accommodating din tung staff sila Russel and Sam.",Customer Service,,False,0.3885455,0.22874326,0.38271126,NEGATIVE,0.0058342516
olo. Coffee And Concepts,5,coffee,"I love how cozy and calm the overall vibe is, especially in the outdoor space — it's the perfect spot to relax and unwind.",Facilities and Amenities,,False,0.39319745,0.21729428,0.38950828,NEGATIVE,0.00368917
The Limestone Brew,5,coffee,A high end coffee and diner in the  red_heart  of Samal with WiFi,Facilities and Amenities,,False,0.38986835,0.22664085,0.38349077,NEGATIVE,0.006377578
ems Cafe and Resto,3,coffee,Strategic area with many establishments nearby and shared parking space too.,Facilities and Amenities,,False,0.39499688,0.21631749,0.38868564,NEGATIVE,0.006311238
Pastry Street Pie & Café,5,coffee,pushpin Friendly and pleasant-looking staff  pushpin WiFi!!!,Facilities and Amenities,,False,0.3904259,0.22186005,0.38771406,NEGATIVE,0.0027118325
The Bloom Coffee & Start-Up Space,4,coffee,Great place to work Good coffee and good food I recommand,Facilities and Amenities,,False,0.3949102,0.21610717,0.3889826,NEGATIVE,0.0059275925
Dunkin’ Drive Thru,5,coffee,wide and secure parking space to atop over and take a short nap,Facilities and Amenities,,False,0.38443357,0.2322603,0.3833061,NEGATIVE,0.0011274815
Starbucks Damosa IT Park Drive-Thru,5,coffee,You feel safe with plenty of parking space & polite staff,Facilities and Amenities,,False,0.3910135,0.2213012,0.38768533,NEGATIVE,0.0033281744
MYLK Cafe,4,matcha,Cozy space and strong ac!,Facilities and Amenities,,False,0.39937472,0.2077958,0.39282954,NEGATIVE,0.006545186
Coffee Project Mintal,5,coffee,The abundance of natural light and greenery creates a peaceful and calming environment that's perfect for enjoying a cup of coffee or working on your laptop.,Facilities and Amenities,,False,0.38417473,0.23082773,0.38499758,POSITIVE,0.0008228421
JH Garden Cafe and Restaurant Matina,5,coffee,"Soft lighting, comfortable seating, and natural wood elements create an inviting space that's perfect for everything from casual hangouts to special celebrations.",Facilities and Amenities,,False,0.39162973,0.22137427,0.38699597,NEGATIVE,0.0046337545
Coffeecat,4,coffee,A quite place for study and review,Facilities and Amenities,,False,0.3882074,0.22649372,0.3852988,NEGATIVE,0.0029086173
Kafih - Davao,5,coffee,"The ambiance is cozy and conducive to focus, making it an ideal spot for both work and leisure.",Facilities and Amenities,,False,0.39478168,0.21202971,0.39318857,NEGATIVE,0.001593113
The Bloom Coffee & Start-Up Space,5,coffee,Best work space Yummy Food Good Service,Facilities and Amenities,,False,0.3898302,0.22435063,0.38581917,NEGATIVE,0.004011035
Barok Cafe and Resto,3,coffee,The space is nice and has a cozy vibe that makes it comfortable to stay and relax.,Facilities and Amenities,,False,0.39284903,0.21548565,0.3916653,NEGATIVE,0.0011837184
STASH Coffee Co.,5,coffee,Stash has good parking space and tidy comfort room.,Facilities and Amenities,,False,0.3934983,0.21793157,0.38857004,NEGATIVE,0.004928261
The Matcha Tokyo - SM Davao,5,matcha,Love the aesthetic and how clean the space is!,Facilities and Amenities,,False,0.39142853,0.21812321,0.39044824,NEGATIVE,0.0009802878
Infinite Caffeine,5,coffee,My friend also greatly appreciate the comfort room because it is so homey and clean.,Facilities and Amenities,,False,0.39435557,0.21672711,0.38891733,NEGATIVE,0.0054382384
Annipie,5,coffee,"Yummy cinnamon rolls, clean and comfy space",Facilities and Amenities,,False,0.39086267,0.22216745,0.38696986,NEGATIVE,0.0038928092
Annipie Airport View,5,coffee,Really cozy and aesthetic place to work and eat.,Facilities and Amenities,,False,0.39837813,0.20918824,0.39243358,NEGATIVE,0.00594455
JH Garden Cafe and Restaurant Matina,5,coffee,The café's strong connection to nature is evident in every corner.,Facilities and Amenities,,False,0.3923275,0.22016972,0.38750285,NEGATIVE,0.0048246384
Coffeecat,5,coffee,Possibly the best coffee in Davao plus free WiFi,Facilities and Amenities,,False,0.39010185,0.22628006,0.38361815,NEGATIVE,0.006483704
Starbucks - SM Lanang,4,coffee,The minimalist design and comfortable seating create a welcoming space.,Facilities and Amenities,,False,0.39332402,0.21646042,0.39021558,NEGATIVE,0.0031084418
Aloha Kakou Neighborhood Cafe,4,coffee,"It offers a spacious parking area and a cozy, beautifully designed space.",Facilities and Amenities,,False,0.3957023,0.21038184,0.39391586,NEGATIVE,0.0017864406
Kafih - Davao,5,coffee,Kafih is the ideal spot for both great food and a cozy study environment.,Facilities and Amenities,,False,0.39245582,0.21830906,0.38923514,NEGATIVE,0.0032206774
Coffeecat,5,coffee,"Coffee is really great  hot_beverage  Perfect place for meetings, study sessions, date and for coffee",Facilities and Amenities,,False,0.38943726,0.22561198,0.38495076,NEGATIVE,0.004486501
olo. Coffee And Concepts,3,coffee,Maybe after tables are freshly cleaned and the patio is tidied up there will be the 5 star atmosphere that is seen in the pictures.,Facilities and Amenities,,False,0.39084965,0.2236504,0.3855,NEGATIVE,0.005349636
Kafih - Davao,5,coffee,Nice place to study kay peaceful ang second floor,Facilities and Amenities,,False,0.38815364,0.2276013,0.38424507,NEGATIVE,0.0039085746
Pursuit of Coffee (POC),5,coffee," cupcake Vanilla Flan Tart, Kalifa Cake  hot_beverage Crossroad latte, Spring Blossom, Roasted Indigo  star genuinely kind staff  star clean and beautifully maintained space  star Impressively fast service  star love the food and drinks overall",Facilities and Amenities,,False,0.381779,0.23434635,0.38387465,POSITIVE,0.0020956695
Seattle's Best Coffee,1,coffee,Cold aircon and great design in architecture and interior.,Facilities and Amenities,,False,0.38893217,0.22261967,0.3884482,NEGATIVE,0.0004839599
The Coffee Bar at GMall of Davao,5,coffee,The comfort room is the best Like  hundred_points  und echt Sauber,Facilities and Amenities,,False,0.39111033,0.22407033,0.3848194,NEGATIVE,0.0062909424
The Coffee Bar at GMall of Davao,5,coffee,"The ambiance is clean, aesthetic, and cozy, making it a great place to study or just relax.",Facilities and Amenities,,False,0.4024407,0.19915405,0.39840522,NEGATIVE,0.004035473
Hikaru de Cielo Cafe,5,coffee,Very nice and good place with aircon  pink_heart,Facilities and Amenities,,False,0.39162672,0.22124974,0.38712355,NEGATIVE,0.0045031607
Cafe Sierra,5,coffee,Simple and cozy place to dine in and work,Facilities and Amenities,,False,0.39119026,0.2231716,0.38563815,NEGATIVE,0.005552113
JAS Caffeinated,5,coffee,Good place to study and bond with friends,Facilities and Amenities,,False,0.38955036,0.22537008,0.3850795,NEGATIVE,0.004470855
Outlook,5,coffee,"The outdoor tables are adorned with warm accent lights that mimic candlelight, creating a romantic and intimate atmosphere.",Facilities and Amenities,,False,0.3927049,0.22066218,0.38663292,NEGATIVE,0.006071985
JAS Caffeinated,5,coffee,"The ambiance is warm and comfortable, creating a peaceful space where you can truly enjoy your time.",Facilities and Amenities,,False,0.39369962,0.212084,0.3942164,POSITIVE,0.00051677227
BRGR Alley Café,5,coffee,Place is comfortable and big space abd the vibes is very serenity.,Facilities and Amenities,,False,0.3942494,0.21527731,0.3904733,NEGATIVE,0.0037761033
&Matcha - Three Yards,5,matcha,+ clean and esthetic restroom,Facilities and Amenities,,False,0.3883279,0.22413053,0.38754156,NEGATIVE,0.0007863343
Whisk Davao Matcha,5,matcha,very unique drink combos that just Work wonderfully.,Facilities and Amenities,,False,0.39061686,0.22433138,0.38505176,NEGATIVE,0.005565107
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"I'm particularly drawn to the interior—its mid-century aesthetic is thoughtfully executed and well-maintained, creating a space that feels both stylish and inviting.",Facilities and Amenities,,False,0.3961807,0.21311073,0.39070863,NEGATIVE,0.005472064
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,Kaos Cafe is my new favorite spot because it perfectly balances a productive work vibe with the best atmosphere for a barkada hangout.,Facilities and Amenities,,False,0.39154747,0.22217064,0.38628185,NEGATIVE,0.0052656233
Humble Table,5,coffee,The place there is so cozy and perfect to study and very instragrammable.,Facilities and Amenities,,False,0.39346388,0.21693406,0.38960207,NEGATIVE,0.0038618147
Purge Coffee Roaster,5,coffee,"This shop is more coffee centric, small space, intimate and modern atmosphere with friendly unassuming baristas who let their coffee nad the quality of the experience they offer speak for itself.",Facilities and Amenities,,False,0.3914584,0.22297773,0.38556388,NEGATIVE,0.005894512
Annipie Airport View,5,coffee,Their CR got fresh calachuchi petals that added to the freshness and cleanliness of their CR.,Facilities and Amenities,,False,0.38770068,0.2264154,0.38588402,NEGATIVE,0.0018166602
Purge Coffee Roaster,4,coffee,"A cozy haven, with a unique embrace, Crafted cups served, within this warm space.",Facilities and Amenities,,False,0.40028197,0.20321499,0.39650312,NEGATIVE,0.003778845
Dear Joe Frontera,5,coffee,Such a unique ambiance as well perfect if you're looking for a working space.,Facilities and Amenities,,False,0.39334947,0.2168664,0.3897841,NEGATIVE,0.003565371
Lately Coffee,5,coffee,"Behind it is a staircase leading to a beautifully designed space with warm lighting, minimalist décor, and a charming speakeasy vibe.",Facilities and Amenities,,False,0.3962995,0.21397538,0.3897251,NEGATIVE,0.006574422
Hid'n Coffee,4,coffee,Ambiance had a cozy feels to it with a decent amount of tables and chairs.,Facilities and Amenities,,False,0.3933174,0.21712475,0.38955793,NEGATIVE,0.0037594736
Seattle's Best Coffee,5,coffee,The upholstery of chairs a classy and classic in appearance.,Facilities and Amenities,,False,0.38574907,0.22996718,0.38428378,NEGATIVE,0.0014652908
Kafih - Davao,5,coffee,"Worth the price  OK_hand_light_skin_tone  The services, wifi the ambiance.",Facilities and Amenities,,False,0.39345172,0.21877407,0.38777417,NEGATIVE,0.005677551
