place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,annotator_1,annotator_2,annotator_3,annotator_4,ground_truth,vote_breakdown,is_tie
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The food and the atmosphere was good.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
The Bloom Coffee & Start-Up Space,2,coffee,"1st take out, the coffee was wrong.",Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Solace - Coffee Club,2,coffee,"If it makes it slightly better, the place is aesthetic.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Mille Matcha - DGT,2,matcha,"Great matcha, probably one of the best in Davao.",Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Glasshouse Coffee,2,coffee,Good coffee.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The service was disappointing during our visit with my friends.,Customer Service,NEGATIVE,False,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,"NEGATIVE:3, POSITIVE:1",False
Café Joa,2,coffee,Great job on the cleanliness but food and service needs improvement.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The place is a little bit crowded which is understandable since it is a newly opened café and the good qualities that I mentioned.,Ambiance and Atmosphere,NEUTRAL,False,NEUTRAL,POSITIVE,NEUTRAL,POSITIVE,NEUTRAL,"NEUTRAL:2, POSITIVE:2",True
The Bloom Coffee & Start-Up Space,2,coffee,When looking at the food and drink alone I think this place doesn't hold up.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Solace - Coffee Club,2,coffee,I ordered their version of a Spanish Latte...lo and behold it was very bitter.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Barok Cafe and Resto,2,coffee,"Despite bringing these concerns to the attention of the staff, their response was useless and unprofessional.",Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Cafe Demitasse,2,coffee,I must say the quantity is good but since I am a foreigner it didn't match upto my taste.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Knto Cinco - Puan Branch,2,coffee,"Overall, the place is nice and very aesthetic.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Gervacios - Pastry and Coffee in Davao City,2,coffee,The place is peaceful and quiet.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Dopio Café,2,coffee,"the place was nice when it felt like a chill escape, now just another noisy place, loud and obnoxious enough that i either HAVE TO use my bluetooth earphones to drown it out, or just leave, or not enter at all :-( food, here's my review of the whole menu.",Ambiance and Atmosphere,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Blugré Coffee,2,coffee,"Still on the menu are the old faves — Chicken Enchilada and White Choco Torte….This used to be ""the coffee hang out"" during its glory days…But as so many new coffee shops sprouted through the years, issues with poor air conditioning, slow internet connection, and the second floor always unavailable loudly spells TERRIBLE service.",Product Quality,NEGATIVE,False,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEGATIVE,"NEGATIVE:2, POSITIVE:1, NEUTRAL:1",True
Starbucks - Matina IT Park,2,coffee,Choco Crepe Cake tasted like cardboard.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Indahouse Cafe,2,coffee,The milk overpowered the matcha.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Barok Cafe & Resto,2,coffee,the price is a bit high for the serving.,Price and Value,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Green Coffee - Diversion,3,coffee,"The service was a bit slow, especially with the food.",Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Cafe Demitasse,3,coffee,"The staff is exceptionally polite; however, the food served is ordinary and seems to be cooked without passion.",Customer Service,NEGATIVE,False,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,"POSITIVE:2, NEGATIVE:2",True
Coffeecat,3,coffee,"Good coffee, good ambiance, plenty of parking space but slow internet connection",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,"POSITIVE:3, NEGATIVE:1",False
The Matcha Tokyo - Azuela High Street,3,matcha,"If you're into matcha that leans more on the bitter side, …",Product Quality,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL:4,False
Kopi lah Roti,3,coffee,"Maybe a little renovation, and don't serve a day old coffee bun again please.",Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
WKND 1970,3,coffee,"I only wish their staff was friendlier, and more approachable, and that they can improve the dining experience by adding more light, tables and music",Facilities and Amenities,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
HYGGE COFFEE 2,3,coffee,"- Unfortunately, the cashier missed one of our orders, even after repeating it back to us.",Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
HOUR CAFÉ,3,coffee,"The Ambience is nice, they could make much more out of this place by higher Food quality.",Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Coffee at Yellow Hauz,3,coffee,Lots of tables and chairs.,Facilities and Amenities,POSITIVE,False,NEUTRAL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,"POSITIVE:3, NEUTRAL:1",False
The Matcha Tokyo - SM Davao,3,matcha,Picture of food has nothing in common with the serving.,Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
"KAOS CAFE - 24 Hours, Jacinto St.",3,coffee,"We ordered the Seasalt Matcha and the Coco Matcha, and both were as quality and delicious as we expected.",Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Krispy Kreme Factory Store Davao,3,coffee,"Its awkward if ur eating while others waiting for you to finish, so they use ur table and chairs",Facilities and Amenities,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Isem Cafe,3,coffee,Call or contact them first to confirm if they're open coz we went there tonight and they were closed even when their hours on Google said they're open.,Store Operations and Accessibility,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Green Coffee - Marfori,3,coffee,What I like about this place is that it is relatively quiet than other coffee shops.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Lately Coffee,3,coffee,"We also paired it with some of their cookies, though honestly, they were just average in taste.",Product Quality,NEGATIVE,False,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,"NEGATIVE:2, NEUTRAL:2",True
The Matcha Tokyo - Azuela High Street,3,matcha,… for just a decent-regular cup of matcha.,Product Quality,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL:4,False
The Matcha Tokyo - SM Davao,3,matcha,Seems like the cashier or the order taker was very tired.,Customer Service,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL:4,False
Krispy Kreme Doughnuts® - SM Lanang,3,coffee,"I can see the staff are doing their best to accommodate everyone, but the wait can be a bit long.",Customer Service,NEUTRAL,False,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"NEUTRAL:3, NEGATIVE:1",False
Coffeecat,3,coffee,Magazines on the shelf for time spending on the wall to enjoyment of drinking coffee.,Product Quality,NEUTRAL,False,NEUTRAL,POSITIVE,NEUTRAL,POSITIVE,NEUTRAL,"NEUTRAL:2, POSITIVE:2",True
Daleachious Cafe - Ecoland Branch,3,coffee,"Honestly, I thought you bought your cakes from SNR, which offers the same level of taste and consistency.",Product Quality,POSITIVE,False,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,POSITIVE,"POSITIVE:2, NEGATIVE:1, NEUTRAL:1",True
Coffeecat,4,coffee,2023 update: Main reason for coming here is to try their frozen yogurt but i didnt know they only serve it starting 1pm :( so i had to get iced coffee and a cheesecake instead.,Product Quality,NEUTRAL,False,NEGATIVE,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,"NEUTRAL:2, NEGATIVE:1, POSITIVE:1",True
The Limestone Brew,4,coffee,Coffee 5/5 Atmosphere 5/5 Food 3/5 - small servings for thier expensive food,Product Quality,POSITIVE,False,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,"POSITIVE:3, NEGATIVE:1",False
KISOM Atelier,4,matcha,The matcha taste strong even blended with coffee and the beans they used for coffee's as well are from the known coffee shop in CDO which made me thought ahead that the …,Product Quality,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,"NEUTRAL:3, POSITIVE:1",False
Cafe Demitasse,4,coffee,The area is not cramped and the airconditioning units are enough for the space.,Facilities and Amenities,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
JAS Caffeinated,4,coffee,Bit noisy if there are many people.,Ambiance and Atmosphere,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Wood and Coffee Davao,4,coffee,But there was a recent addition of a 5% service charge that wasn't there before.,Customer Service,NEUTRAL,False,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,"NEUTRAL:3, NEGATIVE:1",False
Coffee Hub,4,coffee,I loved the wifi and the sockets everywhere though.,Facilities and Amenities,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Fourth Street Cafe,4,coffee,The matcha milk was okay and great that it had no clumps.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Steep Kohi,4,coffee,"A little weird seeing 1/3 of the space used for booking flights and such but honestly, the drinks were delicious.",Facilities and Amenities,POSITIVE,False,POSITIVE,POSITIVE,NEUTRAL,POSITIVE,POSITIVE,"POSITIVE:3, NEUTRAL:1",False
Cafe Demitasse,4,coffee,Good food.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Demitasse,4,coffee,the comfort room is the most important place in every establishment.,Facilities and Amenities,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,"NEUTRAL:3, POSITIVE:1",False
BRGR Alley Café,4,coffee,"Good food, good friends!",Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Fika Cafe - Lapu-Lapu,4,coffee,"Great place, good food, awesome price, but your clothes will kinda smell like oil afterwards.",Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,NEUTRAL,POSITIVE,"POSITIVE:3, NEUTRAL:1",False
Dopio Café,4,coffee,Accessible and easier when you're coming from Rasay Street.,Store Operations and Accessibility,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
The Crazy Bite Co. Sky Cafe,4,coffee,"What truly elevates the entire experience, however, is the staff.",Customer Service,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,NEUTRAL,POSITIVE,"POSITIVE:3, NEUTRAL:1",False
Lara Mia Café & Bistro,4,coffee,"However I did find the entrees a bit small, also service was slow during my 1st visit.",Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Kiks Davao,4,coffee,Mixed the coffee and it felt creamy then tried placing ice in it.,Product Quality,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL:4,False
Coffeecat,4,coffee,":) I'm giving it just 4 stars though, because their crew did not listen well to us when we made the order.",Customer Service,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,"NEGATIVE:3, NEUTRAL:1",False
Kofi Gram Bangkal,4,coffee,The coffee scent welcomes you the moment you open the door.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,NEUTRAL,POSITIVE,POSITIVE,"POSITIVE:3, NEUTRAL:1",False
Espresso Lab Cafe Davao,4,coffee,I hope they can improve on their coffee strength and customer service.,Product Quality,NEUTRAL,False,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,"NEUTRAL:3, NEGATIVE:1",False
Cafe Basilico,5,coffee,"But that's my private taste, everyone else might have a different meaning about this.",Product Quality,NEUTRAL,False,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL:4,False
Fourth Street Cafe,5,coffee,Got the Spanish latte.,Product Quality,NEUTRAL,False,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,"NEUTRAL:3, POSITIVE:1",False
Out of Boredom,5,matcha,they definitely have good coffee beans!,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Whisk Davao Matcha,5,matcha,Very welcoming and kind ang staff esp miss Russell who knows us well na & is very lovely in preparing our orders sparkling_heart we keep coming back for more~ Matcha is superb and my fiancé's favorite is their cacao drink matched with their chocolate …,Customer Service,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Demitasse,5,coffee,Nice food quality.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Whisk It Good Matcha,5,matcha,"First of all, their matcha is really good.",Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Tavera,5,coffee,"Giving this resto a 5-star except for the atmosphere, because it can get crowded (which says a lot, by the way) and noisy.",Ambiance and Atmosphere,NEGATIVE,False,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Mille Matcha - DGT,5,matcha,They make good matcha.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
The Coffee Bar at GMall of Davao,5,coffee,"Service is friendly and efficient,",Customer Service,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Purge Coffee Roaster,5,coffee,"The staff were incredibly friendly and accommodating, taking the time to explain the beans used for their coffee, which added to the overall enjoyment of the visit.",Customer Service,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
The Bloom Coffee & Start-Up Space,5,coffee,A very chill place specially if you want to work and study.,Facilities and Amenities,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Daleachious Cafe - Bago Aplaya Branch,5,coffee,Food & Drinks were 100000/10 accommodating staff & store is neat and organized!,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
The Limestone Brew,5,coffee,The best Matcha better than Matcha Tokyo and the best Truffle Pasta I had period.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Fika Cafe - Lapu-Lapu,5,coffee,Their coffee surprises from the first aroma to the last lingering taste - this coffee is perfection!,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Fiend Coffee Club,5,coffee,"Great coffee, owner is very friendly and accomodating.",Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
BRGR Alley Café,5,coffee,We didn't want to continue if there was no proper parking so good thing we found it.,Store Operations and Accessibility,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
JH Garden Cafe and Restaurant Matina,5,coffee,The staff and their Chef didn't hesitate to provide us with good service and delicious food.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
BRGR Alley Café,5,coffee,"The staff were also warm, polite, and friendly, which made the experience even better.",Customer Service,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
&Matcha - Three Yards,5,matcha,10/10 because the matcha tastes really good.,Product Quality,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Habitat Coffee - Tionko Branch,5,coffee,Such a Gen Z vibe - groovy and cozy.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Starbucks,5,coffee,Truly a Starbuckian and cozy place to chill and unwind,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
ROOFTOP Café Bar,5,coffee,Great atmosphere,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,The staffs are really kind and approachable i like the vibe and the song of choice they play,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Fourth Street Cafe,5,coffee,"Minimalist vibe, al fresco setting, and great coffee.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Demitasse,5,coffee,"We love the vibrant ambiance, customer service of the guards and waiters, clean comfort rooms and the yummy foods especially the cakes.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"We were all happy with the service, the ambiance, and of course the food and drinks.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Evermore Cafe Davao,5,coffee,"This chic, contemporary establishment perfectly complements the neighborhood's serene ambiance.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Matcha Point,1,matcha,Way lami itambay kay ang alimuot sa ilang second floor.,Ambiance and Atmosphere,NEGATIVE,True,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE:4,False
Kotetsu by Wood and Coffee,5,coffee,"The food was really yummy and the ambiance was warm and relaxing, which made the whole experience nice.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
JH Garden Cafe and Restaurant Matina,4,coffee,Chill place and peaceful.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
JH Garden Cafe and Restaurant Matina,5,coffee,"The peaceful ambiance, combined with the natural beauty of the surroundings, makes it an ideal place for any occasion.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Koffiepauze,4,matcha,The ambiance is nice,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Starbucks,5,coffee,Good coffee and good ambiance,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Hid'n Coffee,5,coffee,"Definitely among the best coffee shops in Davao City, especially with its laid back open garden atmosphere and its excellent coffee concoctions.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
KISOM Atelier,5,matcha,Very chill vibe too.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Hortus Davao (Matcha & Coffee),5,matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Coffee Project Mintal,4,coffee,"The place is beautifully designed — cozy, Instagram-worthy, and has that relaxing vibe that makes you want to stay longer.",Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Good One Cafe and Yogurt,5,coffee,The interior is very unique and the ambiance is great.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
Annipie,5,coffee,Very nice ambiance with lots of cakes to choose from.,Ambiance and Atmosphere,POSITIVE,False,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE:4,False
